,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,5,15.512465373961218,4.186496679237727,15.512465373961218,2.419771757498129,0.13036850746979015,53.67925097045848,"[[ 0  0  0  0 75  2  0  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 0  0  0  0 61  0  0  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 0  0  0  0 56  0  0  0  0]
 [ 0  0  0  0 46  0  0  0  0]
 [ 0  0  0  0 58  0  0  0  0]
 [ 0  0  0  0 36  0  0  0  0]
 [ 0  0  0  0  7  0  0  0  0]]"
1,10,21.329639889196677,7.516623668046425,21.329639889196674,4.5621729763004,0.006027749205560235,50.30562105691456,"[[77  0  0  0  0  0  0  0  0]
 [10  0  0  0  0  0  0  0  0]
 [61  0  0  0  0  0  0  0  0]
 [10  0  0  0  0  0  0  0  0]
 [56  0  0  0  0  0  0  0  0]
 [45  0  1  0  0  0  0  0  0]
 [58  0  0  0  0  0  0  0  0]
 [36  0  0  0  0  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
2,15,24.37673130193906,13.462492479852061,24.37673130193906,9.299023537250683,0.005928248744922332,53.666438728381394,"[[66  0 11  0  0  0  0  0  0]
 [ 6  0  4  0  0  0  0  0  0]
 [39  0 22  0  0  0  0  0  0]
 [ 9  0  1  0  0  0  0  0  0]
 [37  0 19  0  0  0  0  0  0]
 [31  0 15  0  0  0  0  0  0]
 [43  0 15  0  0  0  0  0  0]
 [32  0  4  0  0  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
3,20,24.099722991689752,16.00469238634048,24.099722991689752,11.980481599756224,0.0061894734480374405,53.06474485035453,"[[75  0  2  0  0  0  0  0  0]
 [ 8  0  2  0  0  0  0  0  0]
 [43  0  8  0 10  0  0  0  0]
 [ 9  0  1  0  0  0  0  0  0]
 [38  0 14  0  4  0  0  0  0]
 [42  0  4  0  0  0  0  0  0]
 [46  0  8  0  4  0  0  0  0]
 [34  0  2  0  0  0  0  0  0]
 [ 6  0  1  0  0  0  0  0  0]]"
4,25,16.066481994459835,18.15735352265018,16.06648199445983,20.873849778711755,0.006511548054185271,53.45876163644312,"[[30  0  0  0  0  0  0 47  0]
 [ 4  0  0  0  0  0  0  6  0]
 [34  0  7  0  2  0  1 17  0]
 [ 3  0  0  0  0  0  0  7  0]
 [25  0  6  0  0  0  0 25  0]
 [30  0  0  0  0  0  0 16  0]
 [25  0  1  0  0  0  1 31  0]
 [15  0  1  0  0  0  0 20  0]
 [ 2  0  0  0  0  0  0  5  0]]"
5,30,29.6398891966759,26.58908465472335,29.6398891966759,24.10770261739024,0.008272359410811659,60.99328330992368,"[[74  0  1  0  0  2  0  0  0]
 [ 9  0  0  0  1  0  0  0  0]
 [34  0 19  0  3  5  0  0  0]
 [ 6  0  2  0  0  2  0  0  0]
 [29  0 14  0  8  5  0  0  0]
 [35  0  4  0  1  6  0  0  0]
 [44  0  7  0  1  6  0  0  0]
 [34  0  1  0  0  1  0  0  0]
 [ 6  0  0  0  0  1  0  0  0]]"
6,35,31.85595567867036,28.64469425082397,31.855955678670362,26.021571877562426,0.006451115713885617,61.05424451178896,"[[63  0  0  0  1  0 13  0  0]
 [ 6  0  0  0  0  0  3  1  0]
 [17  0  6  0 10  0 28  0  0]
 [ 4  0  0  0  2  0  4  0  0]
 [18  0  4  0 17  0 17  0  0]
 [21  0  0  0  5  0 19  1  0]
 [24  0  0  0  5  0 29  0  0]
 [23  0  2  0  1  0 10  0  0]
 [ 6  0  0  0  0  0  1  0  0]]"
7,40,36.28808864265928,32.71362057610959,36.288088642659275,29.780196286655713,0.007296271766652031,64.3991737738959,"[[56  0  2  0  0 12  0  7  0]
 [ 2  0  5  0  0  2  0  1  0]
 [ 8  0 30  0  4 15  0  4  0]
 [ 2  0  2  0  1  4  0  1  0]
 [10  0 20  0 13  8  0  5  0]
 [ 6  0  8  0  2 23  0  7  0]
 [16  0 10  0  5 19  0  8  0]
 [12  0  3  0  0 12  0  9  0]
 [ 4  0  1  0  0  2  0  0  0]]"
8,45,40.99722991689751,39.603870652939534,40.99722991689751,38.30210955149704,0.006240163978777434,67.59531032035089,"[[56  0  2  0  2  7  0 10  0]
 [ 2  0  0  0  2  2  1  3  0]
 [ 4  0 16  0 17  5  6 13  0]
 [ 1  0  0  0  3  2  2  2  0]
 [ 4  0  2  0 37  2  2  9  0]
 [ 9  0  2  0  5 17  3 10  0]
 [11  0 10  0 10 14  6  7  0]
 [ 6  0  1  0  8  5  0 16  0]
 [ 2  0  1  0  0  1  0  3  0]]"
9,50,37.67313019390582,28.177660600173986,37.67313019390582,22.5052403745142,0.006673553231020053,63.85334389086268,"[[69  0  0  0  3  1  4  0  0]
 [ 4  0  0  0  2  0  4  0  0]
 [11  0  0  0 25  3 22  0  0]
 [ 4  0  0  0  3  0  3  0  0]
 [ 7  0  0  0 41  0  8  0  0]
 [19  0  0  0  7  3 17  0  0]
 [20  0  1  0 11  3 23  0  0]
 [19  0  0  0  6  3  8  0  0]
 [ 5  0  0  0  0  2  0  0  0]]"
10,55,36.56509695290859,35.25750744887981,36.56509695290859,34.04020941720224,0.006583714419124529,64.8886739905903,"[[64  0  8  0  0  0  1  4  0]
 [ 1  0  5  0  0  0  1  3  0]
 [ 7  0 52  0  0  0  1  1  0]
 [ 3  0  6  0  0  0  1  0  0]
 [ 9  0 35  0  6  0  3  3  0]
 [16  0 23  0  1  0  3  3  0]
 [17  0 36  0  0  0  5  0  0]
 [16  0 13  0  1  0  1  5  0]
 [ 3  0  3  0  0  0  0  1  0]]"
11,60,33.795013850415515,25.907242262432256,33.795013850415515,21.004728975679544,0.006213678382440287,58.80122797957008,"[[54  0  8  0  6  1  1  7  0]
 [ 2  0  4  0  3  0  0  1  0]
 [16  0 28  0 16  0  0  1  0]
 [ 2  0  4  0  2  0  0  2  0]
 [ 9  0 10  0 35  0  0  2  0]
 [26  0 12  0  8  0  0  0  0]
 [26  0 18  0 12  0  0  2  0]
 [19  0  6  0  6  0  0  5  0]
 [ 3  0  2  0  2  0  0  0  0]]"
12,65,30.47091412742382,28.770564520849895,30.47091412742382,27.249952260528907,0.006010016906294466,58.94664333323338,"[[69  0  5  0  0  1  1  1  0]
 [ 8  0  1  0  0  0  0  1  0]
 [26  0 34  0  0  0  1  0  0]
 [ 7  0  3  0  0  0  0  0  0]
 [27  0 28  0  0  1  0  0  0]
 [28  0 13  0  0  3  2  0  0]
 [38  0 16  0  0  1  3  0  0]
 [29  0  6  0  0  0  0  1  0]
 [ 5  0  1  0  0  1  0  0  0]]"
13,70,31.024930747922436,28.269498543006492,31.024930747922436,25.963582327394036,0.01053326727610876,63.71901338237226,"[[66  0  1  0  0  0  0 10  0]
 [ 3  0  0  0  0  0  2  5  0]
 [20  0 17  0  0  1  6 17  0]
 [ 6  0  0  0  0  0  3  1  0]
 [ 6  0  8  0  0  3  8 31  0]
 [25  0  3  0  0  2  3 13  0]
 [28  0  4  0  0  1  9 16  0]
 [16  0  2  0  0  0  0 18  0]
 [ 4  0  1  0  0  0  0  2  0]]"
14,75,33.2409972299169,27.65630398836891,33.2409972299169,23.67821700280569,0.005322153300789915,66.84988723683357,"[[68  0  2  0  1  4  0  2  0]
 [ 5  0  1  0  2  1  0  1  0]
 [25  0 19  0  4  8  2  3  0]
 [ 4  0  2  0  1  2  0  1  0]
 [21  0 16  0 13  3  0  3  0]
 [19  0  3  0  3 19  1  1  0]
 [32  0 12  0  2 10  0  2  0]
 [14  0  4  0  9  8  0  1  0]
 [ 5  0  0  0  0  2  0  0  0]]"
15,80,39.61218836565097,38.63642753500942,39.612188365650965,37.707582560796574,0.005200253959507823,67.24513614260994,"[[50  0  2  0  2  1 17  5  0]
 [ 3  0  0  0  0  0  4  3  0]
 [12  0 19  0 15  0 12  3  0]
 [ 2  0  1  0  3  1  2  1  0]
 [ 3  0  8  0 35  0  6  4  0]
 [12  0  3  0  9  9 10  3  0]
 [15  0 10  0  8  3 21  1  0]
 [ 9  0  2  0  7  3  6  9  0]
 [ 1  0  0  0  2  0  3  1  0]]"
16,85,42.659279778393355,40.643962335254436,42.65927977839335,38.8104710147543,0.006072402578311614,68.3588298346572,"[[58  0  1  0  1  4 12  1  0]
 [ 0  0  0  0  0  1  9  0  0]
 [ 4  0 16  0 10 11 20  0  0]
 [ 3  0  1  0  1  3  2  0  0]
 [ 6  0  3  0 28  3 15  1  0]
 [ 6  0  1  0  4 22 13  0  0]
 [ 8  0  4  0  5 11 30  0  0]
 [ 9  0  2  0  5 11  9  0  0]
 [ 4  0  0  0  0  1  2  0  0]]"
