,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,5,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.4953737258911133,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
1,10,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.4953737258911133,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
2,15,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.2755935192108154,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
3,20,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.2755935192108154,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
4,25,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.451122999191284,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
5,30,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.451122999191284,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
6,35,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.451122999191284,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
7,40,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,3.1479358673095703,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
8,45,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.451122999191284,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
9,50,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,4.246837139129639,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
10,55,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,4.902834892272949,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
11,60,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,6.551185607910156,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
12,65,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,6.444639205932617,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
13,70,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,6.4412841796875,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
14,75,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,7.946008682250977,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
15,80,12.087912087912088,0.026071967248437834,0.12087912087912088,0.014611761864509116,4.868697643280029,50.0,"[[ 0  0 21  0  0  0  0  0  0]
 [ 0  0  3  0  0  0  0  0  0]
 [ 0  0 11  0  0  0  0  0  0]
 [ 0  0  1  0  0  0  0  0  0]
 [ 0  0 11  0  0  0  0  0  0]
 [ 0  0 18  0  0  0  0  0  0]
 [ 0  0 16  0  0  0  0  0  0]
 [ 0  0  8  0  0  0  0  0  0]
 [ 0  0  2  0  0  0  0  0  0]]"
16,85,23.076923076923077,0.08653846153846156,0.23076923076923078,0.053254437869822494,2.7387819290161133,50.0,"[[21  0  0  0  0  0  0  0  0]
 [ 3  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  0  0]
 [11  0  0  0  0  0  0  0  0]
 [18  0  0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  0  0]]"
