,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,5,21.05263157894737,11.09858666435446,21.052631578947366,7.535617567408454,0.006125344959322435,49.658344881388686,"[[64  0  0  0 13  0  0  0  0]
 [ 9  0  0  0  1  0  0  0  0]
 [51  0  0  0 10  0  0  0  0]
 [10  0  0  0  0  0  0  0  0]
 [44  0  0  0 12  0  0  0  0]
 [36  0  0  0 10  0  0  0  0]
 [51  0  0  0  7  0  0  0  0]
 [29  0  0  0  7  0  0  0  0]
 [ 4  0  0  0  3  0  0  0  0]]"
1,10,26.31578947368421,14.54141603729318,26.31578947368421,10.046395548112574,0.006257377833210531,55.53215282428181,"[[50  0  0  0 27  0  0  0  0]
 [ 4  0  0  0  6  0  0  0  0]
 [28  0  0  0 33  0  0  0  0]
 [ 4  0  0  0  6  0  0  0  0]
 [11  0  0  0 45  0  0  0  0]
 [18  0  0  0 28  0  0  0  0]
 [25  0  0  0 33  0  0  0  0]
 [22  0  0  0 14  0  0  0  0]
 [ 2  0  0  0  5  0  0  0  0]]"
2,15,14.12742382271468,13.845937754362955,14.127423822714682,13.575449659803157,0.011034734196279847,59.69934448061067,"[[ 0  0  0  0  1  0 10 66  0]
 [ 0  0  0  0  0  0  3  7  0]
 [ 0  0  0  0  1  0 20 40  0]
 [ 0  0  0  0  1  0  4  5  0]
 [ 0  0  0  0  5  0 28 23  0]
 [ 0  0  0  0  0  0 12 34  0]
 [ 0  0  0  0  0  0 18 40  0]
 [ 0  0  0  0  0  0  8 28  0]
 [ 0  0  0  0  0  0  2  5  0]]"
3,20,27.977839335180054,30.31365538344128,27.977839335180054,33.075025729837634,0.007112137333508013,64.09096070895338,"[[71  0  6  0  0  0  0  0  0]
 [10  0  0  0  0  0  0  0  0]
 [39  0 10  0 12  0  0  0  0]
 [ 7  0  2  0  1  0  0  0  0]
 [25  0 12  0 19  0  0  0  0]
 [41  0  4  0  1  0  0  0  0]
 [47  0  5  0  5  0  1  0  0]
 [32  0  3  0  1  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
4,25,16.897506925207757,20.99714556715617,16.897506925207757,27.723321163941293,0.009107143594947879,59.74354275121875,"[[ 1  0  2  0 22  1  1 50  0]
 [ 0  0  0  0  6  0  0  4  0]
 [ 0  1  0  1 50  4  0  5  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 0  1  0  0 53  0  0  2  0]
 [ 0  0  0  0 38  6  0  2  0]
 [ 0  0  4  0 45  6  0  3  0]
 [ 0  0  0  0 27  8  0  1  0]
 [ 0  0  0  0  7  0  0  0  0]]"
5,30,30.193905817174514,16.7730849007865,30.193905817174517,11.611787661805954,0.008238404576468005,66.65199792906795,"[[74  0  0  0  3  0  0  0  0]
 [10  0  0  0  0  0  0  0  0]
 [38  0  0  0 23  0  0  0  0]
 [ 5  0  0  0  5  0  0  0  0]
 [21  0  0  0 35  0  0  0  0]
 [34  0  0  0 12  0  0  0  0]
 [48  0  0  0 10  0  0  0  0]
 [28  0  0  0  8  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
6,35,35.18005540166205,23.56914343484685,35.18005540166205,17.72059477373048,0.01000112707925305,67.57819902185224,"[[73  0  0  0  4  0  0  0  0]
 [ 6  0  0  0  4  0  0  0  0]
 [14  0  0  0 41  6  0  0  0]
 [ 3  0  0  0  7  0  0  0  0]
 [10  0  0  0 45  1  0  0  0]
 [12  0  0  0 25  9  0  0  0]
 [29  0  0  0 25  4  0  0  0]
 [12  0  0  0 16  8  0  0  0]
 [ 5  0  0  0  2  0  0  0  0]]"
7,40,39.335180055401665,38.2229266366564,39.335180055401665,37.1718443509721,0.006822424912386654,69.86675412002046,"[[67  0  2  0  7  0  1  0  0]
 [ 2  0  6  0  2  0  0  0  0]
 [ 3  1 26  0 31  0  0  0  0]
 [ 0  1  2  0  7  0  0  0  0]
 [ 3  0  7  0 46  0  0  0  0]
 [ 1  1 31  0 13  0  0  0  0]
 [ 4  0 26  0 25  0  3  0  0]
 [ 3  0 23  0 10  0  0  0  0]
 [ 3  0  2  0  2  0  0  0  0]]"
8,45,31.024930747922436,35.590217229961,31.024930747922436,41.73087188049431,0.0071710959035603955,71.25984294570732,"[[63  0  0  0  3  9  0  2  0]
 [ 1  0  0  0  0  9  0  0  0]
 [ 3  0  1  0  1 44  0 12  0]
 [ 0  0  0  0  0  9  0  1  0]
 [ 4  0  0  0  2 36  0 14  0]
 [ 2  0  0  0  0 39  0  5  0]
 [ 6  0  0  1  0 42  0  9  0]
 [ 2  0  0  0  0 27  0  7  0]
 [ 3  0  0  0  0  4  0  0  0]]"
9,50,33.795013850415515,32.870341636656384,33.795013850415515,31.99492209766613,0.006532175719242677,75.05328591450575,"[[64  0  1  0  0  6  1  0  5]
 [ 0  0  0  0  0  8  2  0  0]
 [ 2  0 10  0  0 47  2  0  0]
 [ 0  0  5  0  0  4  1  0  0]
 [ 7  0 21  0  0 27  1  0  0]
 [ 1  0  3  0  0 42  0  0  0]
 [ 5  0  7  0  0 41  3  2  0]
 [ 2  0  2  0  0 29  1  2  0]
 [ 1  0  0  0  0  4  1  0  1]]"
