,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,1,9.97229916897507,0.018085781868166374,0.0997229916897507,0.009944675071554087,2.8729735016822815,47.14583115349132,"[[ 0  0  0  0  0  0  0 77  0]
 [ 0  0  0  0  0  0  0 10  0]
 [ 0  0  0  0  0  0  0 61  0]
 [ 0  0  0  0  0  0  0 10  0]
 [ 0  0  0  0  0  0  0 56  0]
 [ 0  0  0  0  0  0  0 46  0]
 [ 0  0  0  0  0  0  0 58  0]
 [ 0  0  0  0  0  0  0 36  0]
 [ 0  0  0  0  0  0  0  7  0]]"
1,2,16.897506925207757,0.04885061243780442,0.16897506925207756,0.028552574028744407,2.0509099066257477,50.05644715138533,"[[ 0  0 77  0  0  0  0  0  0]
 [ 0  0 10  0  0  0  0  0  0]
 [ 0  0 61  0  0  0  0  0  0]
 [ 0  0 10  0  0  0  0  0  0]
 [ 0  0 56  0  0  0  0  0  0]
 [ 0  0 46  0  0  0  0  0  0]
 [ 0  0 58  0  0  0  0  0  0]
 [ 0  0 36  0  0  0  0  0  0]
 [ 0  0  7  0  0  0  0  0  0]]"
2,3,16.897506925207757,0.04885061243780442,0.16897506925207756,0.028552574028744407,2.012710779905319,55.965688979683634,"[[ 0  0 77  0  0  0  0  0  0]
 [ 0  0 10  0  0  0  0  0  0]
 [ 0  0 61  0  0  0  0  0  0]
 [ 0  0 10  0  0  0  0  0  0]
 [ 0  0 56  0  0  0  0  0  0]
 [ 0  0 46  0  0  0  0  0  0]
 [ 0  0 58  0  0  0  0  0  0]
 [ 0  0 36  0  0  0  0  0  0]
 [ 0  0  7  0  0  0  0  0  0]]"
3,4,24.37673130193906,0.17061234481374568,0.24376731301939059,0.13123000598892298,1.9569160640239716,60.23363703670272,"[[33  0  0  0 44  0  0  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 8  0  0  0 53  0  0  0  0]
 [ 2  0  0  0  8  0  0  0  0]
 [ 1  0  0  0 55  0  0  0  0]
 [12  0  0  0 34  0  0  0  0]
 [ 9  0  0  0 49  0  0  0  0]
 [ 3  0  0  0 33  0  0  0  0]
 [ 1  0  0  0  6  0  0  0  0]]"
4,5,28.808864265927976,0.23386779843853578,0.2880886426592798,0.19682380768338442,1.8787323534488678,61.97089359913335,"[[43  0 12  0 21  0  1  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [13  0  6  0 41  0  1  0  0]
 [ 2  0  0  0  8  0  0  0  0]
 [ 1  0  1  0 54  0  0  0  0]
 [15  0  5  0 23  0  3  0  0]
 [13  0  2  0 42  0  1  0  0]
 [ 6  0  0  0 30  0  0  0  0]
 [ 2  0  1  0  4  0  0  0  0]]"
5,6,29.085872576177284,0.21331608411036124,0.29085872576177285,0.16841643353414532,1.904516577720642,63.28695824121282,"[[48  0  0  0  5 19  5  0  0]
 [ 1  0  0  0  9  0  0  0  0]
 [25  0  0  0 25  3  8  0  0]
 [ 3  0  0  0  6  0  1  0  0]
 [ 5  0  0  0 46  0  5  0  0]
 [26  0  0  0 11  4  5  0  0]
 [22  0  0  0 28  1  7  0  0]
 [12  0  0  0 22  0  2  0  0]
 [ 4  0  0  0  2  0  1  0  0]]"
6,7,28.808864265927976,0.18339927227492483,0.2880886426592798,0.13451681524880357,1.8611232340335846,62.06889703110735,"[[73  0  3  0  1  0  0  0  0]
 [ 1  0  4  0  5  0  0  0  0]
 [38  0  6  0 17  0  0  0  0]
 [ 4  0  2  0  4  0  0  0  0]
 [16  0 15  0 25  0  0  0  0]
 [37  0  2  0  7  0  0  0  0]
 [34  0 10  0 14  0  0  0  0]
 [16  0  3  0 17  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
7,8,30.74792243767313,0.20406355400100154,0.3074792243767313,0.15270402263232635,1.7635975778102875,68.46000032644002,"[[71  0  5  0  1  0  0  0  0]
 [ 1  0  2  0  7  0  0  0  0]
 [30  0 13  0 18  0  0  0  0]
 [ 4  0  1  0  5  0  0  0  0]
 [ 6  0 23  0 27  0  0  0  0]
 [34  0  4  0  8  0  0  0  0]
 [24  0 15  0 19  0  0  0  0]
 [14  0  3  0 19  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
8,9,33.795013850415515,0.2433390284977461,0.3379501385041551,0.1901151771395247,1.7538848221302032,66.14319573702664,"[[58  0 11  0  8  0  0  0  0]
 [ 0  0  1  0  9  0  0  0  0]
 [14  0 13  0 34  0  0  0  0]
 [ 2  0  1  0  7  0  0  0  0]
 [ 1  0  4  0 51  0  0  0  0]
 [14  0 15  0 17  0  0  0  0]
 [14  0  8  0 36  0  0  0  0]
 [ 6  0  5  0 25  0  0  0  0]
 [ 1  0  3  0  3  0  0  0  0]]"
9,10,33.51800554016621,0.22363241437647582,0.33518005540166207,0.1677915330521461,1.7152006328105927,69.29947196823196,"[[71  0  2  0  4  0  0  0  0]
 [ 1  0  1  0  8  0  0  0  0]
 [26  0 11  0 24  0  0  0  0]
 [ 3  0  1  0  6  0  0  0  0]
 [ 4  0 13  0 39  0  0  0  0]
 [29  0  7  0 10  0  0  0  0]
 [22  0 11  0 25  0  0  0  0]
 [11  0  4  0 21  0  0  0  0]
 [ 4  0  3  0  0  0  0  0  0]]"
