,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,1,17.72853185595568,0.09984656681983256,0.1772853185595568,0.06949217788854584,2.010848253965378,55.53135511907966,"[[ 0  0 76  0  0  0  0  0  0]
 [ 0  0  7  0  0  0  2  0  0]
 [ 0  0 61  0  0  0  1  0  0]
 [ 0  0 13  0  0  0  0  0  0]
 [ 0  0 54  0  0  0  4  0  0]
 [ 0  0 41  0  0  0  0  0  0]
 [ 0  0 54  0  0  0  3  0  0]
 [ 0  0 36  0  0  0  2  0  0]
 [ 0  0  7  0  0  0  0  0  0]]"
1,2,21.05263157894737,0.07322654462242563,0.21052631578947367,0.0443213296398892,1.9755846560001373,61.23835610380566,"[[76  0  0  0  0  0  0  0  0]
 [ 9  0  0  0  0  0  0  0  0]
 [62  0  0  0  0  0  0  0  0]
 [13  0  0  0  0  0  0  0  0]
 [58  0  0  0  0  0  0  0  0]
 [41  0  0  0  0  0  0  0  0]
 [57  0  0  0  0  0  0  0  0]
 [38  0  0  0  0  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0]]"
2,3,33.2409972299169,0.1820345735297207,0.33240997229916897,0.12533542060433583,1.9287256300449371,66.1005918783193,"[[74  0  0  0  2  0  0  0  0]
 [ 1  0  0  0  8  0  0  0  0]
 [42  0  0  0 20  0  0  0  0]
 [ 8  0  0  0  5  0  0  0  0]
 [12  0  0  0 46  0  0  0  0]
 [35  0  0  0  6  0  0  0  0]
 [36  0  0  0 21  0  0  0  0]
 [24  0  0  0 14  0  0  0  0]
 [ 5  0  0  0  2  0  0  0  0]]"
3,4,28.808864265927976,0.2005313180337459,0.2880886426592798,0.15379053751219043,1.890667051076889,65.05796546187827,"[[76  0  0  0  0  0  0  0  0]
 [ 3  0  2  0  4  0  0  0  0]
 [52  0  4  0  6  0  0  0  0]
 [10  0  0  0  3  0  0  0  0]
 [23  0 11  0 24  0  0  0  0]
 [36  0  1  0  4  0  0  0  0]
 [44  0  5  0  8  0  0  0  0]
 [29  0  5  0  4  0  0  0  0]
 [ 6  0  1  0  0  0  0  0  0]]"
4,5,36.28808864265928,0.24953299615121616,0.3628808864265928,0.19014129188733342,1.7849945425987244,67.51352577993546,"[[64  0  9  0  3  0  0  0  0]
 [ 1  0  0  0  8  0  0  0  0]
 [19  0 17  0 26  0  0  0  0]
 [ 4  0  3  0  6  0  0  0  0]
 [ 5  0  3  0 50  0  0  0  0]
 [24  0  8  0  9  0  0  0  0]
 [18  0 11  0 28  0  0  0  0]
 [10  0 12  0 16  0  0  0  0]
 [ 1  0  4  0  2  0  0  0  0]]"
5,6,32.96398891966759,0.23286475127915507,0.3296398891966759,0.18001596080926793,1.8375789821147919,67.13514952447542,"[[76  0  0  0  0  0  0  0  0]
 [ 2  0  1  0  6  0  0  0  0]
 [44  0  7  0 11  0  0  0  0]
 [10  0  0  0  3  0  0  0  0]
 [13  0  9  0 36  0  0  0  0]
 [36  0  0  0  5  0  0  0  0]
 [41  0  4  0 12  0  0  0  0]
 [26  0  3  0  9  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
6,7,28.53185595567867,0.21444072637161413,0.2853185595567867,0.17177018185858975,1.9400405287742615,63.17908407035673,"[[39  0 27  0 10  0  0  0  0]
 [ 0  0  1  0  8  0  0  0  0]
 [ 8  0 12  0 42  0  0  0  0]
 [ 1  0  3  0  9  0  0  0  0]
 [ 3  0  3  0 52  0  0  0  0]
 [15  0 12  0 14  0  0  0  0]
 [ 8  0 10  0 39  0  0  0  0]
 [ 5  0  6  0 27  0  0  0  0]
 [ 0  0  1  0  6  0  0  0  0]]"
7,8,36.56509695290859,0.28337839965409484,0.3656509695290859,0.23132873685311262,1.8099296391010284,68.29590417361842,"[[60  0  9  0  2  0  5  0  0]
 [ 0  0  0  0  8  0  1  0  0]
 [17  0 18  0 24  0  3  0  0]
 [ 4  0  3  0  6  0  0  0  0]
 [ 4  0  2  0 50  0  2  0  0]
 [22  0  7  0  9  0  3  0  0]
 [14  0 10  0 29  0  4  0  0]
 [ 9  0 11  0 16  0  2  0  0]
 [ 1  0  4  0  2  0  0  0  0]]"
8,9,34.34903047091413,0.236953127700078,0.34349030470914127,0.18085807054434253,1.7700713574886322,67.88785582476228,"[[74  0  2  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [38  0 14  0 10  0  0  0  0]
 [ 7  0  3  0  3  0  0  0  0]
 [ 8  0 14  0 36  0  0  0  0]
 [32  0  4  0  5  0  0  0  0]
 [28  0 17  0 12  0  0  0  0]
 [22  0  7  0  9  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
9,10,36.28808864265928,0.24852597286368364,0.3628808864265928,0.18897435048835132,1.7452032268047333,69.8041170908118,"[[71  0  5  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [28  0 17  0 17  0  0  0  0]
 [ 5  0  5  0  3  0  0  0  0]
 [ 8  0  7  0 43  0  0  0  0]
 [31  0  5  0  5  0  0  0  0]
 [26  0 17  0 14  0  0  0  0]
 [17  0 10  0 11  0  0  0  0]
 [ 4  0  1  0  2  0  0  0  0]]"
10,11,37.67313019390582,0.2612443119975563,0.3767313019390582,0.1999497202897427,1.752989411354065,69.98974189758893,"[[63  0 13  0  0  0  0  0  0]
 [ 0  0  1  0  8  0  0  0  0]
 [18  0 23  0 21  0  0  0  0]
 [ 4  0  4  0  5  0  0  0  0]
 [ 5  0  3  0 50  0  0  0  0]
 [24  0 10  0  7  0  0  0  0]
 [15  0 18  0 24  0  0  0  0]
 [10  0 14  0 14  0  0  0  0]
 [ 1  0  4  0  2  0  0  0  0]]"
11,12,37.119113573407205,0.25556424892801033,0.37119113573407203,0.19486374665759762,1.769965499639511,70.65476909477604,"[[64  0 12  0  0  0  0  0  0]
 [ 1  0  0  0  8  0  0  0  0]
 [20  0 21  0 21  0  0  0  0]
 [ 4  0  4  0  5  0  0  0  0]
 [ 6  0  3  0 49  0  0  0  0]
 [25  0 10  0  6  0  0  0  0]
 [17  0 20  0 20  0  0  0  0]
 [11  0 13  0 14  0  0  0  0]
 [ 1  0  4  0  2  0  0  0  0]]"
12,13,39.05817174515236,0.3142862198237705,0.39058171745152354,0.26292662727023725,1.7348507642745972,70.8737518591773,"[[69  0  6  0  0  0  1  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [20  0 28  0 12  0  2  0  0]
 [ 4  0  5  0  3  0  1  0  0]
 [ 7  0 10  0 41  0  0  0  0]
 [28  0  7  0  5  0  1  0  0]
 [19  0 21  0 14  0  3  0  0]
 [13  0 14  0 10  0  1  0  0]
 [ 2  0  4  0  1  0  0  0  0]]"
13,14,36.28808864265928,0.2748855028675412,0.3628808864265928,0.22123740277919052,1.7435888350009918,69.62513955106323,"[[71  0  5  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [23  0 20  0  9  0 10  0  0]
 [ 5  0  4  0  3  0  1  0  0]
 [ 7  0  5  0 37  0  9  0  0]
 [30  0  5  0  5  0  1  0  0]
 [25  0 16  0 13  0  3  0  0]
 [16  0 11  0  9  0  2  0  0]
 [ 4  0  2  0  0  0  1  0  0]]"
14,15,36.8421052631579,0.2797269118740238,0.3684210526315789,0.22545145033995392,1.7361655533313751,70.31647142602,"[[71  0  4  0  0  0  1  0  0]
 [ 1  0  0  0  6  0  2  0  0]
 [24  0 13  0 20  0  5  0  0]
 [ 5  0  4  0  4  0  0  0  0]
 [ 8  0  2  0 46  0  2  0  0]
 [32  0  3  0  6  0  0  0  0]
 [26  0 11  0 17  0  3  0  0]
 [16  0  8  0 12  0  2  0  0]
 [ 4  0  1  0  2  0  0  0  0]]"
15,16,37.95013850415513,0.26508681206622026,0.37950138504155123,0.20368002025952237,1.7407649159431458,70.25579706703662,"[[71  0  5  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [24  0 25  0 13  0  0  0  0]
 [ 5  0  5  0  3  0  0  0  0]
 [ 8  0  9  0 41  0  0  0  0]
 [32  0  4  0  5  0  0  0  0]
 [26  0 16  0 15  0  0  0  0]
 [16  0 12  0 10  0  0  0  0]
 [ 4  0  2  0  1  0  0  0  0]]"
16,17,29.085872576177284,0.2057513901423432,0.29085872576177285,0.15917550360971874,1.8674003183841705,67.68150972009302,"[[76  0  0  0  0  0  0  0  0]
 [ 1  0  5  0  3  0  0  0  0]
 [38  0 21  0  3  0  0  0  0]
 [ 8  0  5  0  0  0  0  0  0]
 [ 8  0 42  0  8  0  0  0  0]
 [32  0  8  0  1  0  0  0  0]
 [29  0 23  0  5  0  0  0  0]
 [23  0 12  0  3  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
17,18,33.795013850415515,0.23723051821462315,0.3379501385041551,0.18276182682050462,1.7848461866378784,68.89552444880023,"[[76  0  0  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [40  0 15  0  7  0  0  0  0]
 [ 8  0  2  0  3  0  0  0  0]
 [ 8  0 19  0 31  0  0  0  0]
 [33  0  3  0  5  0  0  0  0]
 [32  0 16  0  9  0  0  0  0]
 [24  0  7  0  7  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
18,19,32.686980609418285,0.23203961419404492,0.3268698060941828,0.17985948318358289,1.7891534566879272,68.56607040975084,"[[76  0  0  0  0  0  0  0  0]
 [ 1  0  3  0  5  0  0  0  0]
 [39  0 17  0  6  0  0  0  0]
 [ 8  0  2  0  3  0  0  0  0]
 [ 8  0 25  0 25  0  0  0  0]
 [32  0  6  0  3  0  0  0  0]
 [30  0 20  0  7  0  0  0  0]
 [23  0  9  0  6  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
19,20,37.67313019390582,0.2603449349238834,0.3767313019390582,0.19889793544635068,1.7371047139167786,70.76883203952904,"[[71  0  5  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [23  0 22  0 17  0  0  0  0]
 [ 5  0  5  0  3  0  0  0  0]
 [ 7  0  8  0 43  0  0  0  0]
 [30  0  6  0  5  0  0  0  0]
 [24  0 18  0 15  0  0  0  0]
 [16  0 12  0 10  0  0  0  0]
 [ 4  0  2  0  1  0  0  0  0]]"
20,21,35.73407202216067,0.250473464681415,0.3573407202216066,0.19281092298936692,1.791750729084015,68.52741484671387,"[[60  0 16  0  0  0  0  0  0]
 [ 0  0  1  0  8  0  0  0  0]
 [16  0 19  0 27  0  0  0  0]
 [ 3  0  3  0  7  0  0  0  0]
 [ 3  0  5  0 50  0  0  0  0]
 [20  0 12  0  9  0  0  0  0]
 [14  0 13  0 30  0  0  0  0]
 [ 7  0 16  0 15  0  0  0  0]
 [ 1  0  4  0  2  0  0  0  0]]"
21,22,36.011080332409975,0.2535983759265797,0.3601108033240997,0.19571146240485796,1.749157339334488,70.78165113458661,"[[60  0 16  0  0  0  0  0  0]
 [ 0  0  3  0  6  0  0  0  0]
 [18  0 24  0 20  0  0  0  0]
 [ 3  0  6  0  4  0  0  0  0]
 [ 5  0  7  0 46  0  0  0  0]
 [24  0 11  0  6  0  0  0  0]
 [14  0 26  0 17  0  0  0  0]
 [10  0 16  0 12  0  0  0  0]
 [ 1  0  5  0  1  0  0  0  0]]"
22,23,37.119113573407205,0.2580100185077713,0.37119113573407203,0.19772196118860613,1.7310739755630493,70.8126922697025,"[[73  0  3  0  0  0  0  0  0]
 [ 1  0  2  0  6  0  0  0  0]
 [31  0 19  0 12  0  0  0  0]
 [ 5  0  5  0  3  0  0  0  0]
 [ 8  0  8  0 42  0  0  0  0]
 [32  0  4  0  5  0  0  0  0]
 [27  0 15  0 15  0  0  0  0]
 [19  0  9  0 10  0  0  0  0]
 [ 5  0  2  0  0  0  0  0  0]]"
