,Epoch,Accuracy,F1,Recall,Precision,Test Loss,AUC-ROC,Confusion Matrix
0,1,30.74792243767313,0.22242781782180648,0.3074792243767313,0.17423336553718718,2.0534392297267914,55.63180394120795,"[[71  0  6  0  0  0  0  0  0]
 [ 1  0  9  0  0  0  0  0  0]
 [19  0 37  0  2  0  0  0  0]
 [ 2  0  9  0  0  0  0  0  0]
 [ 4  0 50  0  3  0  0  0  0]
 [24  0 23  0  0  0  0  0  0]
 [14  0 42  0  4  0  0  0  0]
 [ 7  0 26  0  3  0  0  0  0]
 [ 1  0  4  0  0  0  0  0  0]]"
1,2,29.36288088642659,0.22931271056685473,0.29362880886426596,0.18810944565491114,1.8315637111663818,63.15657198663843,"[[45  0  0  0 18  0 14  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 5  0  0  0 45  0  8  0  0]
 [ 2  0  0  0  9  0  0  0  0]
 [ 0  0  0  0 56  0  1  0  0]
 [12  0  0  0 31  0  4  0  0]
 [ 7  0  0  0 48  0  5  0  0]
 [ 4  0  0  0 32  0  0  0  0]
 [ 0  0  0  0  4  0  1  0  0]]"
2,3,29.085872576177284,0.2277292688855203,0.29085872576177285,0.18711654291136046,1.7991048693656921,63.40040457435063,"[[45  0  0  0 16  0 16  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 5  0  0  0 46  0  7  0  0]
 [ 2  0  0  0  9  0  0  0  0]
 [ 0  0  0  0 56  0  1  0  0]
 [11  0  0  0 31  0  5  0  0]
 [ 6  0  0  0 50  0  4  0  0]
 [ 3  0  0  0 31  0  2  0  0]
 [ 0  0  0  0  5  0  0  0  0]]"
3,4,36.56509695290859,0.2875884163760042,0.3656509695290859,0.23699296482461368,1.6947659850120544,69.91049439097831,"[[77  0  0  0  0  0  0  0  0]
 [ 1  0  1  0  6  0  2  0  0]
 [20  0 16  0 19  0  3  0  0]
 [ 3  0  5  0  1  0  2  0  0]
 [ 6  0 14  0 30  0  7  0  0]
 [34  0  7  0  5  0  1  0  0]
 [18  0 11  0 22  0  9  0  0]
 [12  0  5  0 15  0  4  0  0]
 [ 2  0  2  0  0  0  1  0  0]]"
4,5,33.51800554016621,0.24602643365044022,0.33518005540166207,0.19433563278437851,1.7083518505096436,67.68999000032383,"[[68  0  9  0  0  0  0  0  0]
 [ 0  0  5  0  0  0  5  0  0]
 [14  0 25  0  0  0 19  0  0]
 [ 2  0  7  0  0  0  2  0  0]
 [ 1  0 26  0  0  0 30  0  0]
 [18  0 24  0  0  0  5  0  0]
 [11  0 21  0  0  0 28  0  0]
 [ 6  0 13  0  0  0 17  0  0]
 [ 0  0  4  0  0  0  1  0  0]]"
5,6,36.56509695290859,0.27497658893390875,0.3656509695290859,0.2203372140384155,1.6294585764408112,71.50704809487269,"[[76  0  1  0  0  0  0  0  0]
 [ 1  0  0  0  9  0  0  0  0]
 [18  0  3  0 33  0  4  0  0]
 [ 3  0  1  0  5  0  2  0  0]
 [ 4  0  2  0 48  0  3  0  0]
 [27  0  4  0 11  0  5  0  0]
 [17  0  1  0 37  0  5  0  0]
 [10  0  1  0 21  0  4  0  0]
 [ 1  0  0  0  3  0  1  0  0]]"
6,7,38.227146814404435,0.31509902157539077,0.38227146814404434,0.2680053320231847,1.6392521560192108,70.30513143478956,"[[72  0  2  0  2  1  0  0  0]
 [ 0  0  1  0  9  0  0  0  0]
 [12  0  3  0 40  3  0  0  0]
 [ 1  0  0  0  9  1  0  0  0]
 [ 1  0  0  0 55  1  0  0  0]
 [12  0  3  0 24  8  0  0  0]
 [10  0  2  0 46  2  0  0  0]
 [ 5  0  2  0 27  2  0  0  0]
 [ 0  0  0  0  4  1  0  0  0]]"
7,8,34.62603878116344,0.23731976079731257,0.3462603878116344,0.1805233945720897,1.7607490718364716,68.1230328504041,"[[77  0  0  0  0  0  0  0  0]
 [ 1  0  0  0  3  6  0  0  0]
 [18  0  0  0 15 25  0  0  0]
 [ 4  0  0  0  1  6  0  0  0]
 [ 2  0  0  0 23 32  0  0  0]
 [18  0  0  0  4 25  0  0  0]
 [16  0  0  0 21 23  0  0  0]
 [11  0  0  0 11 14  0  0  0]
 [ 3  0  0  0  0  2  0  0  0]]"
8,9,42.38227146814405,0.3547138897065954,0.42382271468144045,0.30498312965627933,1.585435003042221,74.36697196830828,"[[64  0  7  0  0  6  0  0  0]
 [ 0  0  0  0  9  1  0  0  0]
 [ 2  0  5  0 34 17  0  0  0]
 [ 1  0  1  0  6  3  0  0  0]
 [ 1  0  0  0 53  3  0  0  0]
 [ 2  0  5  0  9 31  0  0  0]
 [ 4  0  3  0 40 13  0  0  0]
 [ 4  0  2  0 23  7  0  0  0]
 [ 0  0  1  0  3  1  0  0  0]]"
9,10,39.05817174515236,0.33066107120634936,0.39058171745152354,0.2866803362059322,1.521958440542221,75.41423712406635,"[[76  0  1  0  0  0  0  0  0]
 [ 0  0  0  0  0  1  9  0  0]
 [13  0  7  0  0  5 33  0  0]
 [ 1  0  0  0  0  1  9  0  0]
 [ 2  0  4  0  0  1 50  0  0]
 [12  0 10  0  0 15 10  0  0]
 [14  0  2  0  0  1 43  0  0]
 [ 8  0  3  0  0  1 24  0  0]
 [ 1  0  0  0  0  0  4  0  0]]"
